Enhanced Analysis and Visualization	http://www.thenationaldialogue.org/ideas/enhanced-analysis-and-visualization	MicroStrategy	16	3	31	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=10&-C=	2009-05-04
Build on open source!	http://www.thenationaldialogue.org/ideas/build-on-open-source	JimT	16	3	18	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=10&-C=	2009-05-04
Central Knowledge Foundation for Transparency, Collaboration, Immediacy	http://www.thenationaldialogue.org/ideas/central-knowledge-foundation-for-transparency-collaboration-immediacy	KevinPaschuck	14	4	28	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=10&-C=	2009-05-04
Transparency and Openness through Secure, Real-Time Enterprise Mashups V2	http://www.thenationaldialogue.org/ideas/transparency-and-openness-through-secure-real-time-enterprise-mashups-v2	jjarman	13	4	15	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=10&-C=	2009-05-04
Stimulus Spending Transparency, analysis, outcomes and collaboration	http://www.thenationaldialogue.org/ideas/stimulus-spending-transparency-analysis-outcomes-and-collaboration	jvyas	12	4	14	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=15&-C=	2009-05-04
Establish A National Terminology As A Shared Reference	http://www.thenationaldialogue.org/ideas/establish-a-national-terminology-as-a-shared-reference	RoyERoebuck	12	3	6	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=15&-C=	2009-05-04
Data Format	http://www.thenationaldialogue.org/ideas/data-format	crmdata	11	3	13	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=15&-C=	2009-05-04
8th Grade Basal Reading Level of Data Aggregation in Visual form	http://www.thenationaldialogue.org/ideas/8th-grade-basal-reading-level-of-data-aggregation-in-visual-form	RealityCheck	10	3	12	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=15&-C=	2009-05-04
Full collaboration, transparency and reporting	http://www.thenationaldialogue.org/ideas/full-collaboration-transparency-and-reporting	damoroso	10	3	14	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=15&-C=	2009-05-04
The Crux Of The Issue: Trusted Information	http://www.thenationaldialogue.org/ideas/the-crux-of-the-issue-trusted-information	TPaydos	9	4	6	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=20&-C=	2009-05-04
Use SaaS for Project Performance Status	http://www.thenationaldialogue.org/ideas/use-saas-for-project-performance-status	ctsmith	9	3	9	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=20&-C=	2009-05-04
Making stimulus spending data accessible to the public	http://www.thenationaldialogue.org/ideas/making-stimulus-spending-data-accessible-to-the-public	andyhoskinson	8	4	21	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=20&-C=	2009-05-04
Collaboration	http://www.thenationaldialogue.org/ideas/collaboration	mikewillis1957	8	3	8	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=20&-C=	2009-05-04
Use the tools you know and the software you trust	http://www.thenationaldialogue.org/ideas/use-the-tools-you-know-and-the-software-you-trust	stuartmckee	8	4	31	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=20&-C=	2009-05-04
NASA-Sponsored Technology for Recovery Act Tracking	http://www.thenationaldialogue.org/ideas/nasa-sponsored-technology-for-recovery-act-tracking	jhale	8	4	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=25&-C=	2009-05-04
Recovery Tool on every Americans desktop and mobile phone using PushBI	http://www.thenationaldialogue.org/ideas/recovery-tool-on-every-americans-desktop-and-mobile-phone-using-pushbi	PushBI	8	4	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=25&-C=	2009-05-04
Show correlation between appropriations and results	http://www.thenationaldialogue.org/ideas/show-correlation-between-appropriations-and-results	spierce	8	4	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=25&-C=	2009-05-04
Implement a "Trusted Information" Strategy	http://www.thenationaldialogue.org/ideas/implement-a-trusted-information-strategy	JWJones	8	4	12	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=25&-C=	2009-05-04
XML Web Services	http://www.thenationaldialogue.org/ideas/xml-web-services	scottd	8	3	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=25&-C=	2009-05-04
Single Reporting system for grants using BPM	http://www.thenationaldialogue.org/ideas/single-reporting-system-for-grants-using-bpm	rschrader	7	3	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=30&-C=	2009-05-04
Program management &amp; reporting software provides full transparency	http://www.thenationaldialogue.org/ideas/program-management-reporting-software-provides-full-transparency	garyslagel	7	2	7	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=30&-C=	2009-05-04
Make collecting recovery data agile using semantic web technology	http://www.thenationaldialogue.org/ideas/make-collecting-recovery-data-agile-using-semantic-web-technology	millsdavis	7	3	23	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=30&-C=	2009-05-04
Make public data available to the public with web services	http://www.thenationaldialogue.org/ideas/make-public-data-available-to-the-public-with-web-services	christistevens	7	3	10	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=30&-C=	2009-05-04
Data Mantates should focus on the WHAT's not HOW's	http://www.thenationaldialogue.org/ideas/data-mantates-should-focus-on-the-whats-not-hows	wjhuie	7	3	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=30&-C=	2009-05-04
Terms, Terminology, Existing Government Controls, Management Life Cycle	http://www.thenationaldialogue.org/ideas/terms-terminology-existing-government-controls-management-life-cycle	RoyERoebuck	7	3	7	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=35&-C=	2009-05-04
National Web site Security, Compliance, and Accreditation service	http://www.thenationaldialogue.org/ideas/national-web-site-security-compliance-and-accreditation-service	IBMFedCyber	7	2	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=35&-C=	2009-05-04
Protecting Privacy	http://www.thenationaldialogue.org/ideas/protecting-privacy	TechLeadership	6	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=35&-C=	2009-05-04
Use semantic technology to link data.gov and recovery.gov resources	http://www.thenationaldialogue.org/ideas/use-semantic-technology-to-link-data-gov-and-recovery-gov-resources	millsdavis	6	3	23	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=35&-C=	2009-05-04
Gov. buildings should report their energy usage and track savings	http://www.thenationaldialogue.org/ideas/gov-buildings-should-report-their-energy-usage-and-track-savings	wjhuie	6	2	3	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=35&-C=	2009-05-04
Amazon Public Datasets. Credits  for EC2	http://www.thenationaldialogue.org/ideas/amazon-public-datasets-credits-for-ec2	brianmackay	6	3	1	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=40&-C=	2009-05-04
Accessibility to Data Generated by Recovery.gov	http://www.thenationaldialogue.org/ideas/accessibility-to-data-generated-by-recovery.gov	citizencontact	6	4	20	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=40&-C=	2009-05-04
U.S. Government can improve its portfolio management capabilities	http://www.thenationaldialogue.org/ideas/u-s-government-can-improve-its-portfolio-management-capabilities	Alband	6	4	17	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=40&-C=	2009-05-04
Federal Performance Management Solution	http://www.thenationaldialogue.org/ideas/federal-performance-management-solution	jspeigel	6	3	35	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=40&-C=	2009-05-04
Web-based Community, Resource, and Infrastructure Modeling/Accountancy	http://www.thenationaldialogue.org/ideas/web-based-community-resource-and-infrastructure-modeling-accountancy	unitedgreen	6	4	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=40&-C=	2009-05-04
Packaged Solution for Project Accountability and Transparency in 10 Days	http://www.thenationaldialogue.org/ideas/packaged-solution-for-project-accountability-and-transparency-in-10-days	johnleet	6	3	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=45&-C=	2009-05-04
No APIs Please: Just Publish the Data	http://www.thenationaldialogue.org/ideas/no-apis-please-just-publish-the-data	citizencontact	6	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=45&-C=	2009-05-04
Use of Business Process Management (BPM) Technology for Recovery Programs	http://www.thenationaldialogue.org/ideas/use-of-business-process-management-bpm-technology-for-recovery-programs	JohnBovatsek	5	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=45&-C=	2009-05-04
Lessons learned from Hurricane Katrina plus FFATA/status reports/sub-awards	http://www.thenationaldialogue.org/ideas/lessons-learned-from-hurricane-katrina-plus-ffata-status-reports-sub-awards	dmoore	5	4	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=45&-C=	2009-05-04
Proposed metamodel for Recovery Act accountability / transparency reporting	http://www.thenationaldialogue.org/ideas/proposed-metamodel-for-recovery-act-accountability-transparency-reporting	andyhoskinson	5	4	7	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=45&-C=	2009-05-04
Easy presentation of recovery.gov  data using semantic lenses.	http://www.thenationaldialogue.org/ideas/easy-presentation-of-recovery-gov-data-using-semantic-lenses	millsdavis	5	3	19	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=50&-C=	2009-05-04
Provide a Citizen-centric Collaborative Portal	http://www.thenationaldialogue.org/ideas/provide-a-citizen-centric-collaborative-portal	SShane	5	4	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=50&-C=	2009-05-04
Simple Way To ReduceFraud -- Non-Obvious Relationship Awareness	http://www.thenationaldialogue.org/ideas/simple-way-to-reducefraud-non-obvious-relationship-awareness	TPaydos	5	3	9	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=50&-C=	2009-05-04
Standards, Standards and Standards	http://www.thenationaldialogue.org/ideas/standards-standards-and-standards	kkrems	5	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=50&-C=	2009-05-04
Central location and clear results	http://www.thenationaldialogue.org/ideas/central-location-and-clear-results	llbryan	5	4	2	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=50&-C=	2009-05-04
model local reporting process on online income tax sites	http://www.thenationaldialogue.org/ideas/model-local-reporting-process-on-online-income-tax-sites	WDavidStephenson	5	4	9	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=55&-C=	2009-05-04
Recover Act Project Information We Can Trust	http://www.thenationaldialogue.org/ideas/recover-act-project-information-we-can-trust	mkrichman	5	3	19	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=55&-C=	2009-05-04
Data Reporting based on the XML and Web Services standards.	http://www.thenationaldialogue.org/ideas/data-reporting-based-on-the-xml-and-web-services-standards	amelige	5	3	10	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=55&-C=	2009-05-04
Twitter, or Twitter like, with logs, communication	http://www.thenationaldialogue.org/ideas/twitter-or-twitter-like-with-logs-communication	RMoore	5	2	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=55&-C=	2009-05-04
Using alerts and notifications to provide timely problem detection	http://www.thenationaldialogue.org/ideas/using-alerts-and-notifications-to-provide-timely-problem-detection	andyhoskinson	5	4	15	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=55&-C=	2009-05-04
First, make the data available in raw form	http://www.thenationaldialogue.org/ideas/first-make-the-data-available-in-raw-form	jpmassar	5	3	8	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=60&-C=	2009-05-04
Federal Government Telecommuting Boondoggle	http://www.thenationaldialogue.org/ideas/federal-government-telecommuting-boondoggle	Maynarddobie	5	0	0	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=60&-C=	2009-05-04
Thenationaldialogue.org needs to scale better	http://www.thenationaldialogue.org/ideas/thenationaldialogue-org-needs-to-scale-better	rrahman	5	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=60&-C=	2009-05-04
System for Enabling Americans, and for Transparency (SEAT)	http://www.thenationaldialogue.org/ideas/system-for-enabling-americans-and-for-transparency-seat	dloomis	5	0	0	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=60&-C=	2009-05-04
Map of Ongoing Recovery Projects	http://www.thenationaldialogue.org/ideas/map-of-ongoing-recovery-projects	ScottHorvath	5	3	9	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=60&-C=	2009-05-04
Government integrity?	http://www.thenationaldialogue.org/ideas/government-integrity	missmaryooch	5	2	7	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=65&-C=	2009-05-04
The Simple Language Discussion	http://www.thenationaldialogue.org/ideas/the-simple-language-discussion	JazMichaelKing	4	3	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=65&-C=	2009-05-04
Demystifying Recovery Projects via 3D Navigation	http://www.thenationaldialogue.org/ideas/demystifying-recovery-projects-via-3d-navigation	rdamashek	4	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=65&-C=	2009-05-04
Enforce Americans With Disabilities Act	http://www.thenationaldialogue.org/ideas/enforce-americans-with-disabilities-act	jkspartan	4	1	2	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=65&-C=	2009-05-04
Standard Business Glossary	http://www.thenationaldialogue.org/ideas/standard-business-glossary	JWJones	4	3	3	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=65&-C=	2009-05-04
Use managed spreadsheets for local agency reporting	http://www.thenationaldialogue.org/ideas/use-managed-spreadsheets-for-local-agency-reporting	rfbaxter	4	3	7	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=70&-C=	2009-05-04
Use Annual Imagery to Track Success (IFTN)	http://www.thenationaldialogue.org/ideas/use-annual-imagery-to-track-success-iftn	NSGIC	4	4	12	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=70&-C=	2009-05-04
Normalize First, Collect Second, Analyze Last	http://www.thenationaldialogue.org/ideas/normalize-first-collect-second-analyze-last	hbursi	4	0	0	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=70&-C=	2009-05-04
Scorecards to Offer Insight into Current Performance on Stimulus Portfolio	http://www.thenationaldialogue.org/ideas/scorecards-to-offer-insight-into-current-performance-on-stimulus-portfolio	ActiveStrategy	4	3	6	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=70&-C=	2009-05-04
Don't buy more solutions...use what you already own!	http://www.thenationaldialogue.org/ideas/dont-buy-more-solutions-use-what-you-already-own	YouAlreadyOwnItGuy	4	3	17	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=70&-C=	2009-05-04
Contractor Tracking and Oversight	http://www.thenationaldialogue.org/ideas/contractor-tracking-and-oversight	tbanderson	4	0	0	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=75&-C=	2009-05-04
Successful Stimulus Oversight Using Project Portfolio Management Software	http://www.thenationaldialogue.org/ideas/successful-stimulus-oversight-using-project-portfolio-management-software	bnathanson	4	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=75&-C=	2009-05-04
Location Schema- Enables Data Analysis and Visualization	http://www.thenationaldialogue.org/ideas/location-schema-enables-data-analysis-and-visualization	NSGIC	4	4	9	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=75&-C=	2009-05-04
Focus on Accessibility NOT Normalization	http://www.thenationaldialogue.org/ideas/focus-on-accessibility-not-normalization	fawce	4	2	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=75&-C=	2009-05-04
Incorporate Social Enablement in Transparency Paradigm	http://www.thenationaldialogue.org/ideas/incorporate-social-enablement-in-transparency-paradigm	choffman1938	4	4	6	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=75&-C=	2009-05-04
Preferred system for managing diverse types and sources of data.	http://www.thenationaldialogue.org/ideas/preferred-system-for-managing-diverse-types-and-sources-of-data	RoyERoebuck	4	2	6	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=80&-C=	2009-05-04
This "discussion" is a a waste of money and effort	http://www.thenationaldialogue.org/ideas/this-discussion-is-a-a-waste-of-money-and-effort	JaapBloem	4	1	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=80&-C=	2009-05-04
A centralized online procurement system for all gov business opportunities	http://www.thenationaldialogue.org/ideas/a-centralized-online-procurement-system-for-all-gov-business-opportunities	FedScoop	4	4	3	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=80&-C=	2009-05-04
Technological Neutrality	http://www.thenationaldialogue.org/ideas/technological-neutrality	mwendy	4	4	13	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=80&-C=	2009-05-04
audit trail	http://www.thenationaldialogue.org/ideas/audit-trail	jav	4	3	6	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=80&-C=	2009-05-04
Pre-Built Solution to Track and Report on Recovery Act Funds	http://www.thenationaldialogue.org/ideas/pre-built-solution-to-track-and-report-on-recovery-act-funds	robertdolanjr	4	3	10	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=85&-C=	2009-05-04
Give bloggers and others embeddable widgets to detail the effort	http://www.thenationaldialogue.org/ideas/give-bloggers-and-others-embeddable-widgets-to-detail-the-effort	heck0045	4	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=85&-C=	2009-05-04
Off-the shelf tools and open-source for ATOM feeds + REST services in weeks	http://www.thenationaldialogue.org/ideas/off-the-shelf-tools-and-open-source-for-atom-feeds-rest-services-in-weeks	rrahman	4	3	2	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=85&-C=	2009-05-04
Individualized Reporting and Tailored Interface	http://www.thenationaldialogue.org/ideas/individualized-reporting-and-tailored-interface	swaffors	4	4	3	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=85&-C=	2009-05-04
Create a Master Data Management schema for use by govt. agencies	http://www.thenationaldialogue.org/ideas/create-a-master-data-management-schema-for-use-by-govt-agencies	jpcollin	4	3	7	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=85&-C=	2009-05-04
Use of Geographic Information Systems (GIS)	http://www.thenationaldialogue.org/ideas/use-of-geographic-information-systems-gis	jtmac	4	3	10	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=90&-C=	2009-05-04
Interesting Cloud Approach to Track Stimulus Funds FAST	http://www.thenationaldialogue.org/ideas/interesting-cloud-approach-to-track-stimulus-funds-fast	CloudComputingAdvocate	4	3	6	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=90&-C=	2009-05-04
CLOUD COMPUTING - using a pool of dedicated resources	http://www.thenationaldialogue.org/ideas/cloud-computing-using-a-pool-of-dedicated-resources	akoch	3	2	2	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=90&-C=	2009-05-04
Easy access to and categorization of stimulus funding	http://www.thenationaldialogue.org/ideas/easy-access-to-and-categorization-of-stimulus-funding	ahemmady	3	3	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=90&-C=	2009-05-04
jobs	http://www.thenationaldialogue.org/ideas/jobs	oscar	3	3	3	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=90&-C=	2009-05-04
Can we name names?	http://www.thenationaldialogue.org/ideas/can-we-name-names	CEgleston	3	2	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=95&-C=	2009-05-04
ARRA(Recovery) Decision Support System	http://www.thenationaldialogue.org/ideas/arra-recovery-decision-support-system	dcyoo	3	2	3	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=95&-C=	2009-05-04
Systems to gather data.	http://www.thenationaldialogue.org/ideas/systems-to-gather-data	HHurcombe	3	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=95&-C=	2009-05-04
Multi-view system which leverages all data	http://www.thenationaldialogue.org/ideas/multi-view-system-which-leverages-all-data	misterneo	3	3	3	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=95&-C=	2009-05-04
Organize Participation Through Coalescent Bubbling	http://www.thenationaldialogue.org/ideas/organize-participation-through-coalescent-bubbling	Flywheel	3	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=95&-C=	2009-05-04
Free or low cost healthcare?	http://www.thenationaldialogue.org/ideas/free-or-low-cost-healthcare	missmaryooch	3	3	2	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=100&-C=	2009-05-04
3-hour Daily Career Talk Radio Program for U. S. Job Seekers	http://www.thenationaldialogue.org/ideas/3-hour-daily-career-talk-radio-program-for-u-s-job-seekers	Career_Talk_Radio	3	3	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=100&-C=	2009-05-04
Recovery.gov needs extensive reporting on job creation AND job quality	http://www.thenationaldialogue.org/ideas/recovery-gov-needs-extensive-reporting-on-job-creation-and-job-quality	pmattera	3	4	12	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=100&-C=	2009-05-04
Sustainability Management: How the Shift to Green Can Drive Efficiencies	http://www.thenationaldialogue.org/ideas/sustainability-management-how-the-shift-to-green-can-drive-efficiencies	shaji	3	4	4	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=100&-C=	2009-05-04
Middleware operated by Recovery.gov that can be used to accept varying data	http://www.thenationaldialogue.org/ideas/middleware-operated-by-recovery-gov-that-can-be-used-to-accept-varying-data	dhurt	3	4	1	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=100&-C=	2009-05-04
Middleware: Virtual Linked Data	http://www.thenationaldialogue.org/ideas/middleware-virtual-linked-data	timbl	3	3	7	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=105&-C=	2009-05-04
Incentivize Employees to Save Money	http://www.thenationaldialogue.org/ideas/incentivize-employees-to-save-money	sressler	3	3	1	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=105&-C=	2009-05-04
Standards Always Win: An Enterprise Architecture Pattern for Transparency	http://www.thenationaldialogue.org/ideas/standards-always-win-an-enterprise-architecture-pattern-for-transparency	peterdoolan	3	3	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=105&-C=	2009-05-04
Program Management and Transparency of Reinvestment Dollars	http://www.thenationaldialogue.org/ideas/program-management-and-transparency-of-reinvestment-dollars	garyslagel	3	4	5	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=105&-C=	2009-05-04
transparency/oversite employment	http://www.thenationaldialogue.org/ideas/transparency-oversite-employment	mlfabi	3	2	1	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=105&-C=	2009-05-04
interactive charts and data	http://www.thenationaldialogue.org/ideas/interactive-charts-and-data	jbaher	3	2	2	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=110&-C=	2009-05-04
