idea	people	time	data	federal	many	more	could	system	should	web	government	transparency	recovery	provide	they	we	can	not	these	you	accountability	management	need	based	i	it	if	public	use	reporting	but	would	gov	information	state	there	all	stimulus	what	from	their	agencies	will	other	funds
src: http://www.thenationaldialogue.org/ideas/make-public-data-available-to-the-public-with-web-services	0	0	5	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	4	0	0	0	1	0	4	1	0	0	0	0	0	1	1	0	0	0
src: http://www.thenationaldialogue.org/ideas/the-real-issue-of-lack-of-credit	1	0	0	0	1	3	1	1	1	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	3	6	0	0	0	1	1	0	1	1	3	1	1	0	0
src: http://www.thenationaldialogue.org/ideas/agency-tracking-of-arra-tarp-funds	0	4	1	0	0	0	1	3	0	0	0	0	2	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	1	1	3	0	0	5
src: http://www.thenationaldialogue.org/ideas/education	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/virtual-health-care-record-system	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/standard-business-glossary	0	0	8	0	0	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/updated-information-base-on-foreign-aid	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
src: http://www.thenationaldialogue.org/ideas/xbrl-the-standard-for-pubic-sector-fiscal-reporting-transparency	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	0	2	0	4	0	3	3	6	0	2	0	1	0	0	3	0	1	2	1	2	3	0	0
src: http://www.thenationaldialogue.org/ideas/metadata-mapper	0	0	7	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	1	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/technology-solution-optimization	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/using-proven-best-practices-real-world-use-for-tracking-funds-programs	0	2	1	9	0	1	0	2	1	1	7	3	13	1	1	0	1	0	0	0	3	4	0	2	0	0	1	1	7	2	1	0	1	3	7	0	1	4	1	1	3	4	7	2	9
src: http://www.thenationaldialogue.org/ideas/gis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
src: http://www.thenationaldialogue.org/ideas/agency-and-state-recovery-money-tracking	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	2	1	1	0
src: http://www.thenationaldialogue.org/ideas/standards-standards-and-standards	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/using-data-analysis-to-provide-responsible-oversight-of-spending	1	0	5	0	0	0	0	0	5	0	0	0	4	2	2	1	3	5	4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	3
src: http://www.thenationaldialogue.org/ideas/protecting-stimulus-funds-from-fraud-waste-and-abuse	1	0	4	1	1	0	1	2	0	1	3	0	0	1	0	0	2	1	1	0	0	2	1	2	0	1	0	0	1	1	1	0	0	2	0	0	0	2	0	3	0	3	1	1	2
src: http://www.thenationaldialogue.org/ideas/search-capabilities	0	0	1	2	0	0	0	0	0	0	0	1	5	0	1	0	3	1	0	0	0	0	0	0	0	5	0	2	0	0	1	0	1	2	1	0	2	0	2	2	1	0	0	1	1
src: http://www.thenationaldialogue.org/ideas/social-security-paymens-to-working-federal-employees	0	2	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	10	2	0	0	0	0	2	2	0	0	0	0	0	0	1	3	1	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/provide-a-friendly-visual-user-interface-to-government-data	0	2	12	1	0	2	0	0	1	0	4	1	0	3	0	0	3	1	0	0	1	0	0	0	0	2	0	3	2	0	0	0	0	4	0	1	0	0	0	1	2	4	0	0	0
src: http://www.thenationaldialogue.org/ideas/i-f-you-have-an-idea-can-you-trust-it-to-not-be-stolen	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	3	6	0	6	0	0	4	0	8	10	3	0	0	0	1	1	0	0	0	3	3	0	0	1	0	0	3	0	0
src: http://www.thenationaldialogue.org/ideas/add-national-online-mapping-to-recovery.gov	1	4	23	6	2	0	0	0	8	2	9	0	10	6	7	5	8	5	1	1	0	0	3	1	0	2	0	17	6	1	6	1	8	11	1	0	2	16	6	4	7	0	3	2	1
src: http://www.thenationaldialogue.org/ideas/proposed-metamodel-for-recovery-act-accountability-transparency-reporting	0	0	3	1	0	0	0	0	1	0	0	3	4	0	0	0	0	1	0	0	3	2	0	0	2	2	1	0	0	2	1	1	1	0	1	0	2	1	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/health-record-data-transmission-standard	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/why-is-this-a-org-site	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/off-the-shelf-tools-and-open-source-for-atom-feeds-rest-services-in-weeks	0	0	15	0	0	1	0	1	0	7	0	1	4	2	1	1	15	0	1	1	0	0	0	0	1	2	0	1	0	3	0	1	3	0	0	2	0	0	0	3	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/earned-value-management-for-infrastructure-projects	0	2	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	3	1	0	0	4	0	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1
src: http://www.thenationaldialogue.org/ideas/jobless-solutions	1	0	1	0	2	1	0	0	1	0	3	1	0	0	1	0	0	2	1	5	0	0	1	0	2	3	2	0	1	0	2	0	0	1	0	2	0	1	1	1	0	0	0	1	0
src: http://www.thenationaldialogue.org/ideas/making-the-web-site-inclusive-building-from-all-levels-can-we	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	6	0	0	1	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/transgender-healthcare-programs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
src: http://www.thenationaldialogue.org/ideas/federal-performance-management-solution	0	0	0	6	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	1	0	1	0	4	0	0	0	0	5	0	0	3	1	3	2	0	2
src: http://www.thenationaldialogue.org/ideas/data-in-common-formats	0	0	4	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/full-collaboration-transparency-and-reporting	0	0	2	0	0	0	3	1	1	0	1	2	1	4	3	1	1	2	0	0	0	1	0	0	0	4	2	2	0	2	2	4	1	1	0	1	3	3	5	1	0	1	1	0	1
src: http://www.thenationaldialogue.org/ideas/design-design-design	0	1	0	0	0	2	0	0	0	2	1	0	0	1	0	2	2	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
src: http://www.thenationaldialogue.org/ideas/ask-a-librarian	0	0	5	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	3	0	0	3	0	1	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0
src: http://www.thenationaldialogue.org/ideas/transparency-and-openness-through-secure-real-time-enterprise-mashups	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/build-an-approval-validated-system-for-data	0	0	5	0	0	2	1	3	0	0	1	1	0	1	0	3	1	1	0	0	0	0	0	1	7	2	3	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	4	0	0
src: http://www.thenationaldialogue.org/ideas/create-directory-of-3rd-party-recovery-websites	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
src: http://www.thenationaldialogue.org/ideas/stakeholder-mapping	1	0	1	0	1	1	1	2	1	0	0	1	2	0	2	0	2	1	0	1	1	2	0	0	4	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	2	0	0	1	0
src: http://www.thenationaldialogue.org/ideas/measuring-the-benefits-to-citizens-not-just-industry-and-government	0	3	2	0	0	0	0	1	0	0	2	0	0	0	3	1	2	1	2	0	0	0	1	0	0	3	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/create-a-gis-spatial-view-that-stitches-local-layers-into-a-national-layer	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	4	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	3	0	0	0
src: http://www.thenationaldialogue.org/ideas/utilize-nist-to-define-core-data-elements-that-will-allow-for-transparency	0	1	7	0	1	1	0	1	0	0	5	4	1	0	2	2	1	1	3	0	2	0	1	0	3	4	0	1	0	0	2	7	0	0	0	2	1	0	2	0	4	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/nationalizing-catastrophy-insurance	1	0	0	0	0	3	1	0	3	0	0	0	0	0	4	2	2	5	1	0	0	0	0	1	5	7	1	0	0	0	0	4	0	0	1	1	1	0	0	1	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/full-discosure	1	1	0	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/surprize-arra-weeklty-report-revamp-why	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/near-real-time-notifications-and-transactions	0	2	3	0	3	5	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	2	1	0	1	0	2	0	2	2	2	0	0	0	0	1	1	0
src: http://www.thenationaldialogue.org/ideas/making-stimulus-spending-data-accessible-to-the-public	0	0	13	1	0	1	1	0	0	7	1	2	7	2	1	0	3	0	2	0	2	2	0	1	0	5	0	3	0	5	0	1	4	0	2	1	1	4	0	2	1	4	1	2	0
src: http://www.thenationaldialogue.org/ideas/to-make-the-information-available-to-all-easily	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	3	1	0	0	0	1	1	0	4	0	0	1	0	1	0	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/show-correlation-between-appropriations-and-results	0	1	2	0	0	0	0	0	3	0	3	1	0	1	0	5	1	5	0	0	0	0	0	1	0	4	5	0	0	1	1	0	0	0	0	0	2	4	4	1	1	0	4	0	1
src: http://www.thenationaldialogue.org/ideas/lies-damned-lies-statistics	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	3	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/use-electronic-forms-to-accelerate-data-collection-cut-costs	0	0	7	0	1	1	1	0	0	7	2	0	2	0	4	0	3	1	0	0	0	1	0	3	0	4	0	0	1	0	1	0	2	4	0	0	0	0	0	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/provide-ways-for-citizens-to-report-back-bad-data	0	0	4	0	0	2	1	0	0	0	0	1	3	2	2	0	3	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	3	0	0	1	0	0	0	0	3	0	4	0	0
src: http://www.thenationaldialogue.org/ideas/central-location-and-clear-results	4	0	0	0	0	1	1	0	1	0	0	0	1	0	3	0	4	2	0	2	0	0	0	0	5	3	3	0	1	0	1	1	1	2	1	1	0	0	1	0	1	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/location-schema-enables-data-analysis-and-visualization	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	2	0	1	1	0	0	1	0	1	1	3
src: http://www.thenationaldialogue.org/ideas/can-we-name-names	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	5	2	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1
src: http://www.thenationaldialogue.org/ideas/remove-the-rat-handle-why-not-tab	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	2	1	0	0	0	2	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/provide-data-in-common-formats	0	0	5	1	0	0	0	1	5	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	2	0	1	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0
src: http://www.thenationaldialogue.org/ideas/semi-anual-follow-up-dialogues	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/complete-accountability-and-transparency-for-every-process	1	0	1	1	1	2	0	0	0	1	0	3	1	1	3	0	2	2	4	3	3	4	0	0	0	4	2	0	1	1	1	0	0	2	0	1	0	1	2	0	3	1	0	1	0
src: http://www.thenationaldialogue.org/ideas/maximizing-competition-oversight-and-accountability-for-arra-funds	1	0	0	1	0	1	0	4	1	2	3	1	0	0	0	0	0	1	1	0	4	2	0	3	0	2	0	0	1	1	2	0	0	0	7	1	1	2	0	0	8	2	1	0	4
src: http://www.thenationaldialogue.org/ideas/captions-subtitles-on-your-video-this-website-and-video-need-my-help	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	3	0	6	0	0	3	0	11	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/whats-the-business-case-for-recovery.gov	0	0	0	0	1	0	0	0	0	0	1	1	4	0	0	0	0	1	0	1	2	0	0	1	4	2	0	0	0	0	1	1	4	1	0	5	0	0	1	1	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/create-a-master-data-management-schema-for-use-by-govt-agencies	3	1	14	1	4	2	1	0	0	0	1	0	0	1	1	0	0	1	3	0	0	2	1	0	0	2	0	0	2	0	0	3	0	5	0	1	1	0	1	0	2	2	0	0	0
src: http://www.thenationaldialogue.org/ideas/a-common-mans-glance-at-what-these-recovery-measures-mean-to-me	0	1	0	0	2	2	0	0	0	0	1	0	1	0	0	4	3	2	2	0	1	0	4	0	8	7	2	1	0	0	7	0	0	0	1	0	3	2	3	3	1	0	3	0	0
src: http://www.thenationaldialogue.org/ideas/easier-navigation-and-ability-to-tag-topics	1	1	0	0	1	0	0	0	0	0	0	0	1	1	3	0	3	3	0	1	0	0	1	0	9	2	2	0	2	0	3	0	1	4	0	2	1	0	1	0	1	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/interesting-cloud-approach-to-track-stimulus-funds-fast	0	0	1	0	0	0	0	0	2	0	1	0	1	0	1	0	2	1	0	0	0	0	2	1	0	3	0	1	0	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	3
src: http://www.thenationaldialogue.org/ideas/use-annual-imagery-to-track-success-iftn	0	3	2	1	1	0	3	0	0	0	2	0	4	0	1	1	5	2	0	0	0	0	0	0	0	3	2	1	1	0	1	1	0	1	2	0	0	2	0	3	1	1	0	0	5
src: http://www.thenationaldialogue.org/ideas/u-s-government-can-improve-its-portfolio-management-capabilities	0	3	2	1	0	2	1	0	0	0	4	1	0	2	1	1	4	0	0	0	0	3	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	3	5	3	1	1	1
src: http://www.thenationaldialogue.org/ideas/transportation	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/retaining-jobs-in-public-sector-civil-service	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2
src: http://www.thenationaldialogue.org/ideas/common-user-interface	1	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/individualized-reporting-and-tailored-interface	0	1	5	0	0	4	0	0	1	2	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	6	0	1	0	0	0	1	1	1	2	2	0
src: http://www.thenationaldialogue.org/ideas/use-of-trns2022port-bams-dss-software-in-39-dots	0	0	8	0	0	4	0	2	0	0	0	0	0	1	1	0	3	1	0	0	0	1	0	0	0	1	0	1	2	1	1	0	0	4	2	0	0	0	0	1	1	1	0	2	0
src: http://www.thenationaldialogue.org/ideas/true-transparency	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/reporting-expenditure-of-construction-funds	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	2	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1
src: http://www.thenationaldialogue.org/ideas/data-preservation	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/semantic-data-integration-and-automated-analysis-for-governme-organizations	1	2	9	0	0	2	4	0	2	0	0	0	0	1	3	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	6	0	1	5	0	0	0	3	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/user-friendly-data-presentation-platform	1	0	2	0	2	1	0	0	4	0	0	0	3	0	0	0	2	1	1	0	0	0	0	0	2	3	0	0	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/green-it-through-virtualization-cloud-computing-and-a-virtual-desktop-inf	1	1	4	0	0	0	3	0	1	1	0	0	0	0	1	2	1	1	2	0	0	0	1	0	1	2	0	0	3	0	1	0	0	2	0	0	4	2	0	0	0	0	4	0	0
src: http://www.thenationaldialogue.org/ideas/national-web-site-security-compliance-and-accreditation-service	0	0	1	5	0	6	0	0	0	6	2	0	0	2	1	2	6	0	2	0	0	0	1	2	1	0	0	0	1	0	0	4	0	1	1	0	0	0	1	0	4	1	1	2	0
src: http://www.thenationaldialogue.org/ideas/a-framework-of-arra-metrics-ensure-alignment-transparency-and-results	0	0	1	2	1	0	0	0	0	0	5	2	2	3	0	0	2	0	0	0	2	3	0	2	0	0	0	0	2	0	0	0	0	1	6	0	2	4	0	1	1	1	0	0	0
src: http://www.thenationaldialogue.org/ideas/data-collection-extend-whats-already-available	0	0	11	1	3	1	3	1	1	0	8	2	1	0	0	8	1	2	1	0	0	1	1	0	0	3	3	1	0	2	2	0	2	5	0	1	0	0	1	0	1	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/oig-stimulus-oversight-and-staff-utilization	0	0	0	3	1	1	0	0	2	0	0	2	2	0	0	0	2	2	1	0	2	0	3	0	0	2	2	1	3	2	1	0	0	1	3	0	2	4	0	1	2	1	3	2	5
src: http://www.thenationaldialogue.org/ideas/lessons-learned-from-hurricane-katrina-plus-ffata-status-reports-sub-awards	1	0	8	4	0	1	2	1	0	0	2	1	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	3	0	2	2	0	5	0	4	0	0	1	2	1	0	1	1
src: http://www.thenationaldialogue.org/ideas/vapsoft-arra-decision-support-system	0	0	32	1	0	0	0	8	0	0	2	1	2	1	0	0	0	0	0	0	2	0	0	7	9	1	1	2	1	7	0	2	3	4	9	0	3	0	0	6	1	11	5	1	0
src: http://www.thenationaldialogue.org/ideas/a-centralized-online-procurement-system-for-all-gov-business-opportunities	2	0	5	3	0	0	1	4	1	0	1	0	0	0	0	0	2	4	4	0	0	0	0	0	0	2	0	1	0	0	2	1	1	0	3	1	8	0	0	1	3	3	0	0	0
src: http://www.thenationaldialogue.org/ideas/six-data-centric-management-principles-for-recovery.org	0	1	47	0	0	0	2	2	3	6	3	3	28	5	0	0	6	3	0	0	2	4	0	0	0	3	0	5	2	1	1	0	5	3	0	0	3	3	0	5	1	1	3	1	5
src: http://www.thenationaldialogue.org/ideas/invention-prevents-identity-theft-terrorism-and-much-more	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/push-versus-pull-for-oversight-of-funds	0	2	5	0	0	1	0	0	0	1	3	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	2	0	1	0	2	0	4	0	0	1	0	0	2	1	5	0	0	1
src: http://www.thenationaldialogue.org/ideas/use-of-geographic-information-systems-gis	0	0	0	2	1	0	0	2	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	0	4	3	0	0	1	0	6	2	0	2	0	0	1	1	0	0	0	2
src: http://www.thenationaldialogue.org/ideas/customer-experience-analysis-needed-on-recovery.gov	0	0	2	0	0	0	0	0	1	0	2	0	2	1	3	0	1	3	1	13	0	0	1	0	4	3	2	0	0	0	2	1	3	1	0	0	0	0	1	0	1	0	2	0	1
src: http://www.thenationaldialogue.org/ideas/video-of-projects	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	2	0	0	1	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/jobs	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/per-capita-spending-map-by-congressional-district	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	0	7	0	0	1	0	2	1	0	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/establish-a-national-terminology-as-a-shared-reference	0	0	7	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	0	0	4	0	0	6	1	0	0	0	1
